sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,8695,7111,21433,0.320299022426682
Direct,5712,5590,6029,0.84033613445378152
Referral,540,459,2103,0.32222222222222224
Unassigned,282,247,459,0.85815602836879434
AI Assistant,233,170,648,0.49356223175965663
Organic Social,72,60,141,0.5
Cross-network,7,7,16,1
