DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-07-12,13,467,28,410,3,0.0073,0.4988
2026-07-13,36,576,62,861,6,0.007,0.5651
2026-07-14,34,726,47,1013,3,0.003,0.5741
2026-07-15,19,562,34,649,5,0.0077,0.6034
2026-07-16,29,569,50,860,4,0.0047,0.5535
2026-07-17,15,562,27,595,6,0.0101,0.6594
2026-07-18,17,417,40,397,6,0.0151,0.5542
