AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
ranking-incontent-mobile,0,0,0,3,0,0,0.6667
ranking右サイドバー,0,0,0,32,0,0,0.4062
stats47-ranking,8,0,0,853,0,0,0.4689
themes-content,1,0,0,30,0,0,0.5
サイドバー右上,15,0,0,1083,1,0.0009,0.6851
左サイドバー,0,0,0,17,0,0,0.3529
広告,35,1,35086,1446,1,0.0007,0.242
