AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
content-footer,1,0,0,60,1,0.0167,0.4833
rankingKey最下部,7,1,7151,218,0,0,0.4587
ranking右サイドバー,1,0,0,42,0,0,0.3659
stats47-ranking,1,0,0,105,0,0,0.419
themes-content,1,0,0,32,0,0,0.5312
サイドバー右上,11,0,0,766,1,0.0013,0.4588
左サイドバー,0,0,0,10,0,0,0.9
