DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-05-31,12,256,46,206,5,0.0243,0.61
2026-06-01,15,361,40,267,5,0.0187,0.6292
2026-06-02,19,346,54,275,1,0.0036,0.6255
2026-06-03,16,363,44,336,7,0.0208,0.5898
2026-06-04,29,455,63,488,6,0.0123,0.6119
2026-06-05,20,392,50,396,7,0.0177,0.5924
2026-06-06,10,218,45,132,2,0.0152,0.6719
