country,clicks,impressions,ctr,position
jpn,635,19175,0.0331,9.41
can,2,169,0.0118,7.07
usa,2,4943,0.0004,7.23
aus,1,49,0.0204,9.86
bra,1,248,0.0040,5.82
fra,1,66,0.0152,6.50
kor,1,67,0.0149,7.93
vnm,1,72,0.0139,7.19
ago,0,2,0.0000,5.00
aia,0,1,0.0000,4.00
alb,0,4,0.0000,8.25
are,0,20,0.0000,5.35
arg,0,47,0.0000,5.57
arm,0,1,0.0000,9.00
aut,0,6,0.0000,5.67
bel,0,14,0.0000,7.07
ben,0,1,0.0000,11.00
bes,0,1,0.0000,6.00
bgd,0,20,0.0000,6.80
bgr,0,10,0.0000,9.00
blr,0,6,0.0000,6.67
blz,0,2,0.0000,6.50
bol,0,6,0.0000,5.00
brb,0,2,0.0000,5.00
che,0,10,0.0000,7.30
chl,0,23,0.0000,6.39
chn,0,70,0.0000,6.24
civ,0,1,0.0000,4.00
col,0,39,0.0000,7.62
cri,0,3,0.0000,4.00
cub,0,2,0.0000,6.00
cym,0,2,0.0000,10.00
cyp,0,4,0.0000,7.25
cze,0,9,0.0000,6.22
deu,0,49,0.0000,7.51
dnk,0,5,0.0000,6.20
dom,0,9,0.0000,7.00
dza,0,12,0.0000,7.58
ecu,0,17,0.0000,6.71
egy,0,7,0.0000,9.00
eri,0,2,0.0000,3.50
esp,0,80,0.0000,6.54
est,0,1,0.0000,8.00
eth,0,3,0.0000,6.00
fin,0,5,0.0000,4.20
gbr,0,44,0.0000,7.55
geo,0,4,0.0000,9.25
gha,0,4,0.0000,7.50
gib,0,1,0.0000,11.00
gnb,0,1,0.0000,4.00
grc,0,12,0.0000,5.75
grd,0,1,0.0000,7.00
gtm,0,4,0.0000,8.50
gum,0,1,0.0000,10.00
hkg,0,23,0.0000,7.57
hnd,0,7,0.0000,6.00
hrv,0,2,0.0000,22.00
hti,0,2,0.0000,4.50
hun,0,6,0.0000,13.17
idn,0,63,0.0000,6.38
ind,0,111,0.0000,7.32
irl,0,9,0.0000,8.89
irn,0,16,0.0000,7.25
irq,0,7,0.0000,7.14
isr,0,5,0.0000,6.80
ita,0,48,0.0000,7.71
jam,0,6,0.0000,6.50
jor,0,4,0.0000,7.75
kaz,0,3,0.0000,2.67
ken,0,6,0.0000,6.17
khm,0,4,0.0000,6.50
lao,0,1,0.0000,10.00
lbn,0,2,0.0000,6.00
lca,0,1,0.0000,8.00
lka,0,3,0.0000,5.33
ltu,0,5,0.0000,6.00
lux,0,2,0.0000,7.00
lva,0,4,0.0000,3.75
mar,0,11,0.0000,6.82
mda,0,2,0.0000,5.50
mex,0,93,0.0000,5.78
mlt,0,3,0.0000,7.67
mne,0,2,0.0000,4.50
mng,0,3,0.0000,9.00
moz,0,1,0.0000,9.00
mys,0,31,0.0000,6.35
nga,0,7,0.0000,5.57
nic,0,1,0.0000,10.00
nld,0,28,0.0000,7.18
nor,0,5,0.0000,5.20
npl,0,4,0.0000,5.50
nzl,0,11,0.0000,7.45
omn,0,2,0.0000,12.50
pak,0,18,0.0000,5.94
per,0,18,0.0000,8.78
phl,0,32,0.0000,7.50
png,0,1,0.0000,5.00
pol,0,28,0.0000,6.82
pri,0,6,0.0000,6.00
prk,0,1,0.0000,8.00
prt,0,11,0.0000,5.64
pry,0,8,0.0000,6.38
pse,0,8,0.0000,5.75
pyf,0,1,0.0000,1.00
qat,0,1,0.0000,16.00
rou,0,16,0.0000,7.44
rus,0,30,0.0000,6.97
sau,0,14,0.0000,5.71
sen,0,3,0.0000,12.67
sgp,0,22,0.0000,7.05
slv,0,2,0.0000,5.50
srb,0,4,0.0000,9.75
svk,0,6,0.0000,8.83
svn,0,2,0.0000,7.50
swe,0,18,0.0000,6.72
sxm,0,1,0.0000,4.00
tha,0,36,0.0000,6.67
tkm,0,1,0.0000,10.00
tto,0,2,0.0000,4.00
tun,0,3,0.0000,4.33
tur,0,33,0.0000,7.24
twn,0,30,0.0000,6.03
tza,0,1,0.0000,17.00
ukr,0,25,0.0000,5.08
ury,0,3,0.0000,7.67
uzb,0,1,0.0000,7.00
ven,0,10,0.0000,6.90
wsm,0,1,0.0000,10.00
xkk,0,4,0.0000,8.00
zaf,0,8,0.0000,5.25
zwe,0,1,0.0000,5.00
