sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,8030,6789,19218,0.34171855541718554
Direct,3468,3357,4220,0.82756632064590541
Referral,551,448,2010,0.3720508166969147
AI Assistant,339,253,1196,0.46017699115044247
Unassigned,131,106,449,0.50381679389312972
Organic Social,56,47,166,0.5178571428571429
