country,clicks,impressions,ctr,position
jpn,3557,100091,0.0355,8.07
usa,8,4049,0.0020,7.10
twn,7,104,0.0673,7.29
tha,6,88,0.0682,7.13
aus,5,134,0.0373,6.70
kor,3,150,0.0200,6.89
can,2,92,0.0217,7.62
chn,2,92,0.0217,8.63
deu,2,79,0.0253,7.00
lao,2,7,0.2857,3.86
gbr,1,104,0.0096,7.16
irl,1,13,0.0769,7.69
mng,1,5,0.2000,5.80
mys,1,27,0.0370,5.70
npl,1,3,0.3333,5.00
vnm,1,66,0.0152,7.24
afg,0,2,0.0000,6.50
alb,0,2,0.0000,10.00
are,0,130,0.0000,5.53
arg,0,32,0.0000,7.28
aut,0,10,0.0000,6.80
aze,0,1,0.0000,1.00
bel,0,25,0.0000,7.40
bfa,0,1,0.0000,1.00
bgd,0,12,0.0000,12.17
bgr,0,4,0.0000,5.75
bhr,0,1,0.0000,11.00
blr,0,3,0.0000,8.00
bra,0,59,0.0000,8.36
che,0,10,0.0000,6.50
chl,0,11,0.0000,8.55
civ,0,2,0.0000,6.50
cmr,0,1,0.0000,4.00
cod,0,1,0.0000,9.00
cog,0,1,0.0000,1.00
col,0,20,0.0000,5.55
cri,0,1,0.0000,8.00
cub,0,1,0.0000,11.00
cyp,0,1,0.0000,10.00
cze,0,7,0.0000,6.57
dji,0,1,0.0000,10.00
dnk,0,8,0.0000,6.75
dom,0,5,0.0000,8.20
dza,0,2,0.0000,6.50
ecu,0,10,0.0000,8.00
egy,0,6,0.0000,9.83
esp,0,30,0.0000,7.33
est,0,1,0.0000,9.00
eth,0,1,0.0000,6.00
fin,0,4,0.0000,7.25
fra,0,48,0.0000,9.42
geo,0,1,0.0000,4.00
gha,0,1,0.0000,11.00
grc,0,12,0.0000,8.17
guf,0,1,0.0000,8.00
hkg,0,139,0.0000,6.55
hnd,0,2,0.0000,6.00
hrv,0,3,0.0000,5.00
hun,0,8,0.0000,8.00
idn,0,55,0.0000,7.27
ind,0,93,0.0000,7.19
irn,0,10,0.0000,8.70
irq,0,4,0.0000,6.75
isr,0,1,0.0000,6.00
ita,0,27,0.0000,8.81
jam,0,1,0.0000,2.00
jor,0,4,0.0000,8.50
kaz,0,2,0.0000,3.00
ken,0,2,0.0000,6.00
khm,0,10,0.0000,8.70
lca,0,1,0.0000,3.00
lka,0,2,0.0000,8.00
ltu,0,2,0.0000,7.50
lva,0,3,0.0000,9.67
mac,0,1,0.0000,4.00
mar,0,9,0.0000,4.67
mda,0,2,0.0000,5.50
mex,0,41,0.0000,8.44
mkd,0,4,0.0000,8.00
mlt,0,1,0.0000,10.00
mmr,0,6,0.0000,5.67
mne,0,1,0.0000,12.00
nga,0,3,0.0000,7.33
nld,0,27,0.0000,9.00
nor,0,3,0.0000,16.00
nzl,0,24,0.0000,8.00
pak,0,15,0.0000,10.20
pan,0,2,0.0000,4.50
per,0,14,0.0000,7.57
phl,0,61,0.0000,6.98
plw,0,1,0.0000,6.00
pol,0,10,0.0000,9.80
pri,0,1,0.0000,11.00
prt,0,11,0.0000,5.73
pry,0,2,0.0000,3.00
pse,0,1,0.0000,9.00
qat,0,1,0.0000,9.00
rou,0,6,0.0000,6.17
rus,0,28,0.0000,6.29
sau,0,15,0.0000,6.60
sgp,0,53,0.0000,7.87
srb,0,2,0.0000,11.50
svk,0,1,0.0000,5.00
swe,0,6,0.0000,7.33
syc,0,3,0.0000,5.00
syr,0,1,0.0000,11.00
tjk,0,1,0.0000,1.00
tto,0,2,0.0000,12.50
tun,0,3,0.0000,5.33
tur,0,11,0.0000,6.00
tza,0,2,0.0000,5.50
ukr,0,11,0.0000,7.45
ury,0,5,0.0000,2.40
uzb,0,3,0.0000,5.33
ven,0,2,0.0000,3.50
xkk,0,2,0.0000,14.50
zaf,0,2,0.0000,1.50
zwe,0,1,0.0000,1.00
