PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
Desktop,30,1298,23,1485,3,0.002,0.5105
High-end mobile devices,15,914,17,418,4,0.0096,0.4426
Tablets,1,21,35,20,0,0,0.65
