sns_post_id,platform,domain,content_key,fetched_at,impressions,reach,views,likes,comments,shares,saves,quotes
,instagram,ranking,18105768892641065,2026-07-05T11:58:18.548Z,,136,148,0,0,,,
,instagram,ranking,18072693647622323,2026-07-05T11:58:18.548Z,,113,129,0,0,,,
,instagram,ranking,17889886209261835,2026-07-05T11:58:18.548Z,,124,139,0,0,2,,
,instagram,ranking,17860838322556906,2026-07-05T11:58:18.548Z,,109,126,0,0,,,
,instagram,ranking,18082917610886421,2026-07-05T11:58:18.548Z,,137,151,0,0,,,
,instagram,ranking,17924415570051283,2026-07-05T11:58:18.548Z,,111,122,0,0,,,
,instagram,ranking,18313337509187495,2026-07-05T11:58:18.548Z,,142,157,0,0,,,
,instagram,ranking,18548496103060179,2026-07-05T11:58:18.548Z,,180,189,0,0,,,
,instagram,ranking,17889400587264760,2026-07-05T11:58:18.548Z,,171,180,1,0,,,
,instagram,ranking,18185691046350549,2026-07-05T11:58:18.548Z,,158,174,0,0,,,
,instagram,ranking,18042154688697709,2026-07-05T11:58:18.548Z,,145,162,0,0,,,
,instagram,ranking,18098539531649637,2026-07-05T11:58:18.548Z,,159,176,0,0,,1,
,instagram,ranking,18044550179686534,2026-07-05T11:58:18.548Z,,150,167,0,0,,,
