code,indicator,unit,category,series,opp,prefAvail,cityAvail,prefUsed,cityUsed,vintage,prefId,cityId
C210703,事業所数（農業、林業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210704,事業所数（漁業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210707,事業所数（鉱業、採石業、砂利採取業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210708,事業所数（建設業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210709,事業所数（製造業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210711,事業所数（情報通信業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210712,事業所数（運輸業、郵便業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210713,事業所数（卸売業、小売業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210716,事業所数（金融業、保険業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210717,事業所数（不動産業、物品賃貸業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210721,事業所数（教育、学習支援業）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C210722,事業所数（医療、福祉）,所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C3101,農業産出額,百万円,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C3107,耕地面積,ｈａ,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C3109,耕地放棄面積,ｈａ,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C3403,製造業事業所数,事業所,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C3404,製造業従業者数,人,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C3501,商業年間商品販売額（卸売業＋小売業）,百万円,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C3503,商業従業者数（卸売業＋小売業）,人,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C5405,標準価格（平均価格）（工業地）,円／ｍ2,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C6101,売上金額（民営）,百万円,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C610107,売上金額（民営）（製造業）,百万円,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
C620107,純付加価値額（民営）（製造業）,百万円,経済基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010103,0000020203
D1202,一般行政部門職員数（市区町村）,人,行政基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010104,0000020204
D2205,基準財政収入額（市町村財政）,千円,行政基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010104,0000020204
D2206,基準財政需要額（市町村財政）,千円,行政基盤,basic,ADD city (pref exists),1,1,1,0,0,0000010104,0000020204
#E0110201,#E0110201_小学校数（可住地面積100km2当たり）,校,教育,indicator,ADD city (pref exists),1,1,1,0,0,0000010205,0000020305
#E0110202,#E0110202_中学校数（可住地面積100km2当たり）,校,教育,indicator,ADD city (pref exists),1,1,1,0,0,0000010205,0000020305
#E0110203,#E0110203_高等学校数（可住地面積100km2当たり）,校,教育,indicator,ADD city (pref exists),1,1,1,0,0,0000010205,0000020305
E2101,小学校数,校,教育,basic,ADD city (pref exists),1,1,1,0,0,0000010105,0000020205
E2501,小学校児童数,人,教育,basic,ADD city (pref exists),1,1,1,0,0,0000010105,0000020205
E3101,中学校数,校,教育,basic,ADD city (pref exists),1,1,1,0,0,0000010105,0000020205
E3501,中学校生徒数,人,教育,basic,ADD city (pref exists),1,1,1,0,0,0000010105,0000020205
E4101,高等学校数,校,教育,basic,ADD city (pref exists),1,1,1,0,0,0000010105,0000020205
