BID_TYPE_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
cpm,Desktop,106,3321,32,9,0.0027,12,0.5661,4334,1
cpm,HighEndMobile,37,782,47,26,0.0332,1,0.4421,1495,1
cpm,Tablet,3,101,32,1,0.0099,3,0.52,126,1
unmatched,Desktop,0,0,0,0,0,0,0,7733,0
unmatched,HighEndMobile,0,0,0,0,0,0,0,1749,0
unmatched,Tablet,0,0,0,0,0,0,0,46,0
