DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
2026-07-26,16,487,33,433,37,7,0.0162,2,0.5874,1790,0.357
2026-07-27,19,730,25,660,28,2,0.003,9,0.5569,2458,0.4007
2026-07-28,15,595,25,515,29,8,0.0155,2,0.5965,1761,0.4429
2026-07-29,24,674,36,598,41,4,0.0067,6,0.5059,2408,0.3675
2026-07-30,26,570,45,813,32,2,0.0025,13,0.5266,3010,0.3585
2026-07-31,20,536,38,581,35,10,0.0172,2,0.5257,1997,0.4131
2026-08-01,26,462,57,604,44,3,0.005,9,0.5232,2059,0.3701
