TRAFFIC_SOURCE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
BING,55,1743,32,6,0.0034,9,0.5686,4613,0.4895
DIRECT,30,924,33,23,0.0249,1,0.4957,6173,0.2516
GOOGLE,30,777,39,3,0.0039,10,0.5904,2451,0.4774
OTHER,30,753,40,4,0.0053,7,0.4883,2225,0.4333
TWITTER,0,3,38,0,0,0,1,10,0.6
YAHOO,0,4,17,0,0,0,0.5,11,0.3636
