PLATFORM_TYPE_CODE,PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
Desktop,Desktop,106,2778,38,3321,32,9,0.0027,12,0.5661,12067,0.3592
HighEndMobile,High-end mobile devices,37,1231,30,782,47,26,0.0332,1,0.4421,3244,0.4609
Tablet,Tablets,3,45,73,101,32,1,0.0099,3,0.52,172,0.7326
