COUNTRY_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
AU,0,1,21,0,0,0,1,2,1
BD,0,0,0,0,0,0,0,2,0
CA,0,0,0,0,0,0,0,2,0
CN,0,2,121,0,0,0,0.5,327,0.0214
FR,0,1,5,0,0,0,0,1,1
GH,0,2,1,0,0,0,0,152,0.0329
HK,0,0,0,0,0,0,0,2,0
IN,0,0,0,0,0,0,0,1,1
IQ,0,0,0,0,0,0,0,2,0
JP,145,4192,35,36,0.0086,4,0.5425,11989,0.4778
KR,0,0,0,0,0,0,0,3,1
MX,0,0,0,0,0,0,0,2,0
SG,0,0,0,0,0,0,0,514,0.0739
TW,0,1,333,0,0,0,1,2,1
US,0,0,0,0,0,0,0,2473,0.0659
VN,0,5,18,0,0,0,0.4,9,0.5556
