AD_PLACEMENT_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
AUTO_ADS,Desktop,73,681,107,9,0.0132,8,0.8634,2734,0.5995
AUTO_ADS,HighEndMobile,33,287,114,23,0.0801,1,0.7403,1207,0.8045
AUTO_ADS,Tablet,3,27,106,1,0.037,3,0.8889,49,1
MANUAL,Desktop,34,2640,13,0,0,0,0.4894,9333,0.2888
MANUAL,HighEndMobile,4,495,8,3,0.0061,1,0.286,2037,0.2572
MANUAL,Tablet,0,74,5,0,0,0,0.3836,123,0.626
