DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
2026-08-09,6,367,16,226,26,4,0.0177,1,0.5111,1161,0.3635
2026-08-10,17,426,40,501,34,1,0.002,17,0.495,1663,0.4336
2026-08-11,24,389,61,497,48,2,0.004,12,0.4707,1441,0.4872
2026-08-12,19,481,39,594,32,6,0.0101,3,0.5185,1790,0.4737
2026-08-13,18,455,40,488,37,8,0.0164,2,0.5298,1740,0.4138
2026-08-14,20,519,39,544,37,1,0.0018,20,0.4455,1775,0.4715
2026-08-15,14,515,27,468,29,7,0.015,2,0.4347,1581,0.4851
