PLATFORM_TYPE_CODE,PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
ConnectedTV,Connected TV,0,1,10,1,10,0,0,0,0,9,0.2222
Desktop,Desktop,86,1680,51,2316,37,2,0.0009,43,0.5294,7537,0.4071
HighEndMobile,High-end mobile devices,28,1422,20,898,32,27,0.0301,1,0.3831,3355,0.5398
Tablet,Tablets,4,49,77,103,37,0,0,0,0.3786,250,0.544
