BID_TYPE_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
cpm,ConnectedTV,0,1,10,0,0,0,0,2,1
cpm,Desktop,86,2316,37,2,0.0009,43,0.5294,3068,1
cpm,HighEndMobile,28,898,32,27,0.0301,1,0.3831,1811,1
cpm,Tablet,4,103,37,0,0,0,0.3786,136,1
unmatched,ConnectedTV,0,0,0,0,0,0,0,7,0
unmatched,Desktop,0,0,0,0,0,0,0,4469,0
unmatched,HighEndMobile,0,0,0,0,0,0,0,1544,0
unmatched,Tablet,0,0,0,0,0,0,0,114,0
