AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
content-footer,3,0,0,55,1,0.0182,0.4909
rankingKey最下部,9,0,0,341,1,0.0029,0.4868
ranking右サイドバー,1,0,0,120,0,0,0.7583
stats47-ranking,2,0,0,84,0,0,0.2619
themes-content,2,0,0,58,0,0,0.6034
サイドバー右上,9,0,0,440,0,0,0.7432
