DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-06-21,9,258,35,164,3,0.0183,0.6871
2026-06-22,18,480,37,307,3,0.0098,0.6918
2026-06-23,25,410,61,305,4,0.0131,0.6941
2026-06-24,24,405,60,334,3,0.009,0.7027
2026-06-25,16,437,36,298,2,0.0067,0.7013
2026-06-26,28,366,77,284,2,0.007,0.6254
2026-06-27,19,260,75,164,7,0.0427,0.6025
