DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-07-19,12,422,29,390,4,0.0103,0.5193
2026-07-20,20,598,33,619,3,0.0048,0.5987
2026-07-21,15,483,30,766,2,0.0026,0.5628
2026-07-22,16,548,29,714,3,0.0042,0.5702
2026-07-23,27,752,35,685,10,0.0146,0.5725
2026-07-24,25,612,42,538,4,0.0074,0.5684
2026-07-25,14,404,34,358,3,0.0084,0.5714
