country,clicks,impressions,ctr,position
jpn,8753,241506,0.0362,7.11
usa,12,9011,0.0013,7.45
kor,7,252,0.0278,7.49
vnm,4,132,0.0303,8.30
can,3,168,0.0179,6.86
deu,3,107,0.0280,7.83
twn,3,157,0.0191,7.01
are,2,1054,0.0019,6.21
esp,2,47,0.0426,9.26
fra,2,72,0.0278,9.85
mys,2,66,0.0303,6.48
nzl,2,46,0.0435,7.61
sgp,2,104,0.0192,7.29
tha,2,122,0.0164,8.74
aus,1,148,0.0068,7.33
aut,1,20,0.0500,6.50
bfa,1,4,0.2500,5.75
chn,1,282,0.0035,7.04
dnk,1,6,0.1667,7.67
gbr,1,169,0.0059,7.66
hun,1,3,0.3333,4.33
idn,1,117,0.0085,8.13
ind,1,164,0.0061,8.92
nor,1,8,0.1250,8.38
qat,1,5,0.2000,5.00
abw,0,2,0.0000,7.50
ago,0,3,0.0000,7.67
alb,0,2,0.0000,6.00
arg,0,72,0.0000,4.94
arm,0,2,0.0000,5.50
aze,0,3,0.0000,1.00
bel,0,20,0.0000,7.15
ben,0,1,0.0000,1.00
bgd,0,15,0.0000,7.60
bgr,0,4,0.0000,8.75
bhr,0,3,0.0000,5.67
bhs,0,1,0.0000,5.00
bih,0,2,0.0000,2.00
blr,0,5,0.0000,5.20
bol,0,7,0.0000,5.71
bra,0,166,0.0000,6.90
brb,0,2,0.0000,10.00
brn,0,1,0.0000,1.00
che,0,33,0.0000,7.33
chl,0,15,0.0000,4.80
civ,0,3,0.0000,1.00
cod,0,3,0.0000,14.33
col,0,28,0.0000,7.00
cpv,0,1,0.0000,10.00
cub,0,1,0.0000,21.00
cyp,0,2,0.0000,20.50
cze,0,6,0.0000,4.50
dom,0,8,0.0000,7.25
dza,0,8,0.0000,16.50
ecu,0,10,0.0000,5.80
egy,0,6,0.0000,4.50
est,0,2,0.0000,5.00
eth,0,3,0.0000,14.33
fin,0,10,0.0000,6.60
fji,0,1,0.0000,1.00
geo,0,2,0.0000,9.50
gha,0,6,0.0000,6.50
gib,0,1,0.0000,6.00
grc,0,5,0.0000,8.00
grl,0,1,0.0000,28.00
gtm,0,5,0.0000,6.40
hkg,0,246,0.0000,6.08
hnd,0,4,0.0000,1.00
hrv,0,2,0.0000,11.50
hti,0,1,0.0000,1.00
irl,0,29,0.0000,6.79
irn,0,5,0.0000,7.80
irq,0,13,0.0000,6.00
isl,0,1,0.0000,10.00
isr,0,6,0.0000,7.17
ita,0,45,0.0000,10.09
jam,0,2,0.0000,11.00
jor,0,4,0.0000,4.75
kaz,0,6,0.0000,3.33
ken,0,6,0.0000,7.00
kgz,0,3,0.0000,8.00
kwt,0,1,0.0000,1.00
lao,0,7,0.0000,3.57
lbn,0,4,0.0000,8.25
lby,0,2,0.0000,1.00
lca,0,1,0.0000,10.00
lka,0,4,0.0000,6.75
ltu,0,539,0.0000,6.43
lux,0,1,0.0000,1.00
lva,0,4,0.0000,5.50
mac,0,3,0.0000,6.33
mar,0,20,0.0000,7.75
mda,0,1,0.0000,15.00
mdg,0,1,0.0000,1.00
mdv,0,2,0.0000,5.50
mex,0,73,0.0000,8.70
mkd,0,1,0.0000,11.00
mli,0,2,0.0000,6.50
mmr,0,4,0.0000,4.75
mne,0,1,0.0000,5.00
mng,0,4,0.0000,3.00
nga,0,4,0.0000,17.75
nld,0,54,0.0000,6.44
npl,0,5,0.0000,4.60
omn,0,3,0.0000,4.00
pak,0,16,0.0000,2.56
pan,0,4,0.0000,11.00
per,0,26,0.0000,7.08
phl,0,84,0.0000,8.21
pol,0,10,0.0000,13.10
pri,0,2,0.0000,5.00
prt,0,11,0.0000,5.18
pry,0,11,0.0000,13.09
pse,0,3,0.0000,7.67
reu,0,1,0.0000,4.00
rou,0,3,0.0000,16.33
rus,0,97,0.0000,9.47
rwa,0,2,0.0000,1.50
sau,0,22,0.0000,7.23
sen,0,4,0.0000,6.25
slv,0,1,0.0000,8.00
srb,0,5,0.0000,5.20
stp,0,1,0.0000,11.00
svk,0,5,0.0000,7.00
swe,0,9,0.0000,6.22
syc,0,1,0.0000,9.00
syr,0,1,0.0000,21.00
tcd,0,3,0.0000,10.67
tgo,0,1,0.0000,7.00
ton,0,1,0.0000,8.00
tto,0,3,0.0000,5.67
tun,0,1,0.0000,1.00
tur,0,30,0.0000,6.33
tza,0,4,0.0000,7.25
uga,0,4,0.0000,5.50
ukr,0,13,0.0000,4.08
ury,0,2,0.0000,5.50
uzb,0,9,0.0000,7.44
ven,0,11,0.0000,3.64
xkk,0,1,0.0000,8.00
zaf,0,18,0.0000,9.11
zmb,0,4,0.0000,15.25
zwe,0,5,0.0000,5.60
zzz,0,7,0.0000,5.29
