sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,3393,2917,7707,0.33745947539050986
Direct,1421,1324,2494,0.848698099929627
Referral,495,390,1571,0.37171717171717172
Unassigned,264,246,544,0.64772727272727271
Organic Social,220,197,1338,0.42272727272727273
