DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
2026-08-16,8,246,33,284,28,5,0.0176,2,0.4021,852,0.4601
2026-08-17,0,35,1,1,34,0,0,0,1,4,1
2026-08-18,0,26,0,0,0,0,0,0,0,2,1
2026-08-19,0,17,0,1,1,0,0,0,0,2,1
