AD_PLACEMENT_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
AUTO_ADS,Desktop,3,22,115,1,0.0455,3,0.9091,115,0.5652
AUTO_ADS,HighEndMobile,2,15,128,3,0.2,1,0.5385,107,0.6262
AUTO_ADS,Tablet,1,1,577,0,0,0,1,6,1
MANUAL,Desktop,2,162,14,0,0,0,0.4444,427,0.3958
MANUAL,HighEndMobile,1,76,10,1,0.0132,1,0.1447,180,0.4556
MANUAL,Tablet,0,10,4,0,0,0,0.3333,25,0.44
