TRAFFIC_SOURCE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
BING,2,85,18,0,0,0,0.4353,160,0.6312
DIRECT,2,83,19,4,0.0482,0,0.2048,436,0.3257
GOOGLE,4,69,59,1,0.0145,4,0.4848,152,0.6184
OTHER,1,49,17,0,0,0,0.5714,112,0.5625
