AD_UNIT_ID,AD_UNIT_NAME,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
ca-pub-7995274743017484:1047042956,ranking右サイドバー,1,50,15,1,0.02,1,0.54,64,0.7812
ca-pub-7995274743017484:3604399166,stats47-ranking,0,29,11,0,0,0,0.3214,36,0.8333
ca-pub-7995274743017484:4317152551,themes-content,0,5,24,0,0,0,1,10,0.5
ca-pub-7995274743017484:6137206504,広告,1,117,11,0,0,0,0.1795,432,0.2894
ca-pub-7995274743017484:6180558947,サイドバー右上,1,46,13,0,0,0,0.5217,83,0.6145
ca-pub-7995274743017484:7716393084,左サイドバー,0,1,26,0,0,0,0,7,0.1429
