sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,6016,5028,12557,0.35322473404255317
Direct,1696,1572,2598,0.80660377358490565
Referral,768,641,1974,0.390625
AI Assistant,279,207,631,0.58064516129032262
Unassigned,195,176,497,0.62564102564102564
Organic Social,173,153,620,0.53179190751445082
