DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
2026-08-02,15,627,24,461,32,3,0.0065,5,0.5427,2099,0.343
2026-08-03,32,744,44,1020,32,8,0.0078,4,0.5255,4047,0.3281
2026-08-04,18,866,20,759,23,3,0.004,6,0.4603,2911,0.3576
2026-08-05,19,619,31,535,36,5,0.0093,4,0.603,2042,0.4079
2026-08-06,18,780,23,496,36,3,0.006,6,0.498,2271,0.3289
2026-08-07,19,461,40,473,39,4,0.0085,5,0.5499,1638,0.4261
2026-08-08,10,372,26,408,24,8,0.0196,1,0.4483,1500,0.3987
