TRAFFIC_SOURCE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
BING,47,1459,32,2,0.0014,23,0.6059,3784,0.5103
DIRECT,31,1154,27,23,0.0199,1,0.4062,8359,0.2207
FACEBOOK,0,0,0,0,0,0,0,2,0
GOOGLE,29,763,39,3,0.0039,10,0.5735,2322,0.5047
OTHER,22,763,29,3,0.0039,7,0.4637,2023,0.4943
TWITTER,0,3,34,3,1,0,0.6667,7,1
YAHOO,0,10,26,0,0,0,0.2,11,0.9091
